query,expected_source_type,expected_collection,expected_doc_ids,expected_answer,category
What is (are) Pol III-related leukodystrophy ?,Retrieve_QnA,medical_qna,10,"Pol III-related leukodystrophy is a disorder that affects the nervous system and other parts of the body. Leukodystrophies are conditions that involve abnormalities of the nervous system's white matter, which consists of nerve fibers covered by a fatty substance called myelin. Myelin insulates nerve fibers and promotes the rapid transmission of nerve impulses.  Pol III-related leukodystrophy is a hypomyelinating disease, which means that the nervous system of affected individuals has a reduced ability to form myelin. Hypomyelination underlies most of the neurological problems associated with Pol III-related leukodystrophy. A small number of people with this disorder also have a loss of nerve cells in a part of the brain involved in coordinating movements (cerebellar atrophy) and underdevelopment (hypoplasia) of tissue that connects the left and right halves of the brain (the corpus callosum). These brain abnormalities likely contribute to the neurological problems in affected individuals.  People with Pol III-related leukodystrophy usually have intellectual disability ranging from mild to severe, which gradually worsens over time. Some affected individuals have normal intelligence in early childhood but develop mild intellectual disability during the course of the disease.  Difficulty coordinating movements (ataxia), which begins in childhood and slowly worsens over time, is a characteristic feature of Pol III-related leukodystrophy. Affected children typically have delayed development of motor skills such as walking. Their gait is unstable, and they usually walk with their feet wide apart for balance. Affected individuals may eventually need to use a walker or wheelchair. Involuntary rhythmic shaking (tremor) of the arms and hands may occur in this disorder. In some cases the tremor occurs mainly during movement (intentional tremor); other affected individuals experience the tremor both during movement and at rest.  Development of the teeth (dentition) is often abnormal in Pol III-related leukodystrophy, resulting in the absence of some teeth (known as hypodontia or oligodontia). Some affected infants are born with a few teeth (natal teeth), which fall out during the first weeks of life. The primary (deciduous) teeth appear later than usual, beginning at about age 2. In Pol III-related leukodystrophy, the teeth may not appear in the usual sequence, in which front teeth (incisors) appear before back teeth (molars). Instead, molars often appear first, with incisors appearing later or not at all. Permanent teeth are also delayed, and may not appear until adolescence. The teeth may also be unusually shaped.  Some individuals with Pol III-related leukodystrophy have excessive salivation and difficulty chewing or swallowing (dysphagia), which can lead to choking. They may also have speech impairment (dysarthria). People with Pol III-related leukodystrophy often have abnormalities in eye movement, such as progressive vertical gaze palsy, which is restricted up-and-down eye movement that worsens over time. Nearsightedness is common in affected individuals, and clouding of the lens of the eyes (cataracts) has also been reported. Deterioration (atrophy) of the nerves that carry information from the eyes to the brain (the optic nerves) and seizures may also occur in this disorder.  Hypogonadotropic hypogonadism, which is a condition caused by reduced production of hormones that direct sexual development, may occur in Pol III-related leukodystrophy. Affected individuals have delayed development of the typical signs of puberty, such as the growth of body hair.  People with Pol III-related leukodystrophy may have different combinations of its signs and symptoms. These varied combinations of clinical features were originally described as separate disorders. Affected individuals may be diagnosed with ataxia, delayed dentition, and hypomyelination (ADDH); hypomyelination, hypodontia, hypogonadotropic hypogonadism (4H syndrome); tremor-ataxia with central hypomyelination (TACH); leukodystrophy with oligodontia (LO); or hypomyelination with cerebellar atrophy and hypoplasia of the corpus callosum (HCAHC). Because these disorders were later found to have the same genetic cause, researchers now group them as variations of the single condition Pol III-related leukodystrophy.",information
What is (are) Tay-Sachs disease ?,Retrieve_QnA,medical_qna,11,"Tay-Sachs disease is a rare inherited disorder that progressively destroys nerve cells (neurons) in the brain and spinal cord.  The most common form of Tay-Sachs disease becomes apparent in infancy. Infants with this disorder typically appear normal until the age of 3 to 6 months, when their development slows and muscles used for movement weaken. Affected infants lose motor skills such as turning over, sitting, and crawling. They also develop an exaggerated startle reaction to loud noises. As the disease progresses, children with Tay-Sachs disease experience seizures, vision and hearing loss, intellectual disability, and paralysis. An eye abnormality called a cherry-red spot, which can be identified with an eye examination, is characteristic of this disorder. Children with this severe infantile form of Tay-Sachs disease usually live only into early childhood.  Other forms of Tay-Sachs disease are very rare. Signs and symptoms can appear in childhood, adolescence, or adulthood and are usually milder than those seen with the infantile form. Characteristic features include muscle weakness, loss of muscle coordination (ataxia) and other problems with movement, speech problems, and mental illness. These signs and symptoms vary widely among people with late-onset forms of Tay-Sachs disease.",information
What are the contraindications for the Model 1606 Electrosurgical Unit?,Retrieve_Device,medical_device_manual,0,Contraindicated in presence of radio frequencies or MRI environments exposure.,Contraindications
What is the intended use of the 3M Healthcare Dialysis Machine model X-6538?,Retrieve_Device,medical_device_manual,1,Used for post-operative chemotherapy management in hospital recovery units.,Indications_for_Use
Which patient population is the Ventilator model SON230 for?,Retrieve_Device,medical_device_manual,2,Adult (>65),Patient_Population
What are the contraindications for the Max787 Dialysis Machine?,Retrieve_Device,medical_device_manual,3,"Not recommended during pregnancy, lactation, or in critically ill under 14 years.",Contraindications
What is the intended use of the Abbott Electrosurgical Unit model Plus691?,Retrieve_Device,medical_device_manual,4,Intended for life support evaluation in rehabilitation medicine for stroke recovery.,Indications_for_Use
Which patient population is the Defibrillator model Z-2047 for?,Retrieve_Device,medical_device_manual,5,Adult and Pediatric,Patient_Population
What are the contraindications for the Max432 X-Ray Machine?,Retrieve_Device,medical_device_manual,6,Contraindicated in patients with respiratory failure or severe severe cardiac arrhythmias.,Contraindications
What is the intended use of the Beckman Coulter Nebulizer model BEC582?,Retrieve_Device,medical_device_manual,7,Intended for calibration guidance during minimally invasive urological procedures.,Indications_for_Use
Which patient population is the Surgical Robot model Model 8757 for?,Retrieve_Device,medical_device_manual,8,Pediatric,Patient_Population
What are the contraindications for the C-5476 Stent?,Retrieve_Device,medical_device_manual,9,,Contraindications
What is the intended use of the Thermo Fisher Scientific Surgical Drill model Model 6091?,Retrieve_Device,medical_device_manual,10,Used for long-term thermal therapy delivery in ambulatory care settings for chronic conditions patients.,Indications_for_Use
Which patient population is the Electrosurgical Unit model Pro127 for?,Retrieve_Device,medical_device_manual,11,Adult (18-65),Patient_Population
What is the latest news regarding vaccine development?,Web_Search,,,,recent_medical_news
What changed in FDA medical device cybersecurity guidance this year?,Web_Search,,,,recent_regulatory_guidance
Who will win the Champions League next year?,Web_Search,,,,out_of_domain
